CodigoArticulo,DESCRIPCION,PRESENTACION,Precios,GrupoTerapeutico,Año
9483,Azitromicina ,Capsula 500 mg,RD$4.00,Antibacteriano/Antibioticos,2022
9482,Azitromicina 200 mg/5mL Polvo para Suspensión,Frasco 30 ml,RD$25.00,Antibacteriano/Antibioticos,2022
2031,Bajante De Suero ,Unidad,RD$10.00,Insumo Hospitalario,2022
9491,Bastón Ajustable de Aluminio Cuatro Apoyos,Unidad,RD$350.00,Insumos Ortopédicos,2022
9490,Bastón Ajustable de Aluminio un Apoyo,Unidad,RD$200.00,Insumos Ortopédicos,2022
9646,Betahistina ,Tableta 6 mg,RD$3.00,Antivertiginosos,2022
9174,Betametasona 0.1%  Crema,Tubo 15 g,RD$50.00,Antiinflamatorio Esteroideo,2022
9796,Bismuto Subsalicilato  Suspension Oral,Frasco 100 ml,RD$50.00,Antidiarreico,2022
10251,Bisoprolol ,Tableta 2.5 mg,RD$3.00,Cardiovasculares/Antianginoso,2022
10252,Bisoprolol ,Tableta 5 mg,RD$3.00,Cardiovasculares/Antianginoso,2022
2005,Bolsa Colectora de Orina 2 L,Unidad,RD$10.00,Insumo Hospitalario,2022
2006,Bolsa Colectora de Orina Pediátrica 100 mL,Unidad,RD$5.00,Insumo Hospitalario,2022
10255,Budesonida 100 mcg/Inhalaion,Frasco Spray,RD$390.00,Antiinflamatorio Esteroideo,2022
10330,Cabestrillo Sencillo (L),Unidad,RD$150.00,Insumos Ortopédicos,2022
10331,Cabestrillo Sencillo (S),Unidad,RD$150.00,Insumos Ortopédicos,2022
9489,Cabestrillo Sencillo Medium,Unidad,RD$150.00,Insumos Ortopédicos,2022
10417,Calamina Locion 0.15%,Frasco 120 ml,RD$45.00,Emoliente Cutaneo,2022
1897,Calcio Carbonato 600 mg + Vit. D3 400UI,Tableta 600mg/400 UI,RD$1.00,Vitaminas,2022
10631,Candesartan ,Tableta 16 mg,RD$2.50,Cardiovasculares/Antihipertensivo,2022
10744,Candesartan ,Tableta 32 mg,RD$3.50,Cardiovasculares/Antihipertensivo,2022
1433,Captoprilo,Tableta 50 mg,RD$0.70,Cardiovasculares/Antihipertensivo,2022
1105,Carbamacepina  ,Tableta 200 mg,RD$1.00,Trastorno Bipolar,2022
9275,Carbonato de Litio ,Tableta 300 mg,RD$3.00,Trastorno Bipolar,2022
9033,Carvedilol ,Tableta 25 mg,RD$1.50,Cardiovasculares/Antianginoso,2022
9031,Carvedilol ,Tableta 6.25 mg,RD$0.70,Cardiovasculares/Antianginoso,2022
9032,Carvedilol ,Tableta 12.5 mg,RD$0.70,Cardiovasculares/Antianginoso,2022
2223,Catéter E.V. # 18,Unidad,RD$15.00,Insumo Hospitalario,2022
2224,Catéter E.V. # 20,Unidad,RD$15.00,Insumo Hospitalario,2022
2225,Catéter E.V. # 22,Unidad,RD$15.00,Insumo Hospitalario,2022
2226,Catéter E.V. # 24,Unidad,RD$15.00,Insumo Hospitalario,2022
1136,Cefalexina  ,Capsula 500 mg,RD$2.00,Antibacteriano/Antibioticos,2022
1137,Cefalexina 250 mg/5mL   Suspensión,Frasco 120 ml,RD$35.00,Antibacteriano/Antibioticos,2022
1147,Ceftriazona 1g,Vial ,RD$10.00,Antibacteriano/Antibioticos,2022
9529,Cetirizina ,Tableta 10 mg,RD$0.50,Antihistamínico,2022
10254,Cetirizina Jbe.5mg/5ml,Frasco 60 ml,RD$20.00,Antihistamínico,2022
1150,Ciprofloxacina ,Tableta 500 mg,RD$1.00,Antibiótico/Quinolonas,2022
9819,Citicolina ,Tableta 500 mg,RD$15.00,"Psicoestimulante, Neuroprotector, Nootropico",2022
